sku,description,customer_id,customer_name,facility,zone,aisle,rack,level,bin,lot_number,qty_on_hand,qty_allocated,qty_available,qty_on_order,unit_of_measure,weight_per_unit,cube_per_unit,last_receipt_date,last_ship_date,last_count_date,last_count_qty,abc_class,velocity,min_qty,max_qty,reorder_point,unit_cost,status
SKU-AP-10042,Brake Rotor Assembly Front,CUST-001,AutoParts National,CLB-01,A,12,04,03,A-12-04-03,LOT-2025-1842,2450,180,2270,500,EA,18.5,0.42,2026-01-10,2026-01-15,2026-01-14,2448,A,High,500,3000,750,42.50,Active
SKU-AP-10043,Brake Rotor Assembly Rear,CUST-001,AutoParts National,CLB-01,A,12,04,04,A-12-04-04,LOT-2025-1843,1820,95,1725,0,EA,16.2,0.38,2026-01-08,2026-01-15,2026-01-14,1820,A,High,400,2500,600,38.75,Active
SKU-AP-10044,Alternator 12V 150A,CUST-001,AutoParts National,CLB-01,A,14,02,01,A-14-02-01,LOT-2025-1901,680,42,638,200,EA,12.4,0.28,2026-01-12,2026-01-13,2026-01-12,680,A,High,150,800,200,156.00,Active
SKU-AP-10045,Starter Motor HD,CUST-001,AutoParts National,CLB-01,A,14,02,02,A-14-02-02,LOT-2025-1902,445,28,417,0,EA,22.8,0.52,2026-01-05,2026-01-14,2026-01-12,442,A,Medium,100,500,150,189.00,Active
SKU-AP-10046,Fuel Pump Assembly,CUST-001,AutoParts National,CLB-01,A,16,01,02,A-16-01-02,LOT-2025-1955,892,65,827,300,EA,4.2,0.15,2026-01-11,2026-01-16,2026-01-10,895,B,Medium,200,1000,300,67.25,Active
SKU-HF-20105,Frozen Pizza 12pk Case,CUST-002,Heartland Foods,CLB-01,C,02,08,01,C-02-08-01,LOT-2026-0042,3240,420,2820,1500,CS,28.0,2.10,2026-01-14,2026-01-16,2026-01-15,3240,A,High,800,4000,1200,18.50,Active
SKU-HF-20106,Frozen Vegetables Mixed 24pk,CUST-002,Heartland Foods,CLB-01,C,02,08,02,C-02-08-02,LOT-2026-0043,2180,185,1995,0,CS,32.0,2.40,2026-01-12,2026-01-13,2026-01-15,2176,A,High,500,2500,750,22.00,Active
SKU-HF-20107,Ice Cream Vanilla 8pk,CUST-002,Heartland Foods,CLB-01,C,04,02,01,C-04-02-01,LOT-2026-0044,1540,280,1260,800,CS,24.0,1.80,2026-01-15,2026-01-17,2026-01-15,1540,A,High,400,2000,600,34.50,Active
SKU-HF-20108,Dairy Creamer 48ct,CUST-002,Heartland Foods,CLB-01,C,04,02,02,C-04-02-02,LOT-2026-0045,4820,0,4820,0,CS,18.0,1.20,2026-01-08,2026-01-10,2026-01-12,4815,B,Medium,1000,6000,1500,12.25,Active
SKU-HF-20109,Fresh Orange Juice Gal 4pk,CUST-002,Heartland Foods,MEM-03,C,01,04,01,C-01-04-01,LOT-2026-0048,1890,145,1745,500,CS,36.0,1.60,2026-01-16,2026-01-16,2026-01-16,1890,A,High,500,2500,750,16.80,Active
SKU-BR-30201,Lumber 2x4x8 Bundle 50pc,CUST-003,BuildRight Supply,CLB-01,D,01,01,FL,D-01-01-FL,LOT-2025-8842,285,24,261,100,BD,850.0,48.00,2026-01-10,2026-01-16,2026-01-08,285,A,High,50,400,100,425.00,Active
SKU-BR-30202,Plywood 4x8 3/4in Pallet,CUST-003,BuildRight Supply,CLB-01,D,01,02,FL,D-01-02-FL,LOT-2025-8843,142,8,134,50,PL,1200.0,128.00,2026-01-07,2026-01-14,2026-01-08,140,A,Medium,30,200,50,680.00,Active
SKU-BR-30203,Concrete Mix 80lb Pallet,CUST-003,BuildRight Supply,IND-02,D,02,01,FL,D-02-01-FL,LOT-2025-8901,86,0,86,40,PL,2400.0,64.00,2026-01-05,2026-01-12,2026-01-06,86,B,Low,20,120,40,520.00,Active
SKU-BR-30204,Steel Beam I-6x12,CUST-003,BuildRight Supply,CLB-01,D,04,01,FL,D-04-01-FL,LOT-2025-8950,48,4,44,0,EA,485.0,12.00,2026-01-02,2026-01-16,2026-01-10,48,C,Low,10,60,20,892.00,Active
SKU-BR-30205,Roofing Shingles Bundle,CUST-003,BuildRight Supply,IND-02,D,03,02,01,D-03-02-01,LOT-2025-8955,620,45,575,200,BD,72.0,4.80,2026-01-11,2026-01-15,2026-01-12,618,A,High,150,800,250,45.00,Active
SKU-ME-40301,Hospital Bed Electric,CUST-004,MedEquip Direct,CLB-01,B,08,01,01,B-08-01-01,LOT-2025-6042,28,4,24,10,EA,285.0,86.00,2026-01-09,2026-01-15,2026-01-10,28,B,Low,5,40,10,2450.00,Active
SKU-ME-40302,Wheelchair Standard,CUST-004,MedEquip Direct,CLB-01,B,08,02,01,B-08-02-01,LOT-2025-6043,64,8,56,20,EA,42.0,12.00,2026-01-11,2026-01-17,2026-01-12,64,A,Medium,15,80,25,385.00,Active
SKU-ME-40303,IV Pole Mobile,CUST-004,MedEquip Direct,CLB-01,B,08,02,02,B-08-02-02,LOT-2025-6044,145,12,133,0,EA,18.0,4.50,2026-01-08,2026-01-15,2026-01-12,145,A,Medium,30,200,50,125.00,Active
SKU-ME-40304,Patient Monitor Basic,CUST-004,MedEquip Direct,IND-02,B,04,01,01,B-04-01-01,LOT-2025-6102,38,6,32,15,EA,24.0,2.80,2026-01-12,2026-01-17,2026-01-14,38,B,Medium,10,50,15,1850.00,Active
SKU-ME-40305,Exam Table Standard,CUST-004,MedEquip Direct,CLB-01,B,08,04,FL,B-08-04-FL,LOT-2025-6103,22,2,20,0,EA,165.0,42.00,2026-01-04,2026-01-12,2026-01-10,22,C,Low,5,30,8,1125.00,Active
SKU-TF-50401,Laptop Computer 15in,CUST-005,TechFlow Distribution,CHI-04,E,02,04,02,E-02-04-02,LOT-2026-0112,425,42,383,200,EA,6.2,0.45,2026-01-14,2026-01-15,2026-01-14,425,A,High,100,600,150,485.00,Active
SKU-TF-50402,Desktop Computer Tower,CUST-005,TechFlow Distribution,CHI-04,E,02,04,03,E-02-04-03,LOT-2026-0113,186,24,162,100,EA,22.0,2.20,2026-01-12,2026-01-16,2026-01-14,186,A,Medium,50,250,75,625.00,Active
SKU-TF-50403,Monitor 27in 4K,CUST-005,TechFlow Distribution,CLB-01,E,04,02,01,E-04-02-01,LOT-2026-0114,342,18,324,0,EA,14.5,1.80,2026-01-10,2026-01-17,2026-01-12,340,A,Medium,80,400,120,345.00,Active
SKU-TF-50404,Keyboard Wireless,CUST-005,TechFlow Distribution,CLB-01,E,04,02,02,E-04-02-02,LOT-2026-0115,1840,0,1840,500,EA,1.2,0.12,2026-01-15,2026-01-14,2026-01-14,1840,B,High,400,2500,600,28.00,Active
SKU-TF-50405,Network Switch 24-port,CUST-005,TechFlow Distribution,CHI-04,E,02,06,01,E-02-06-01,LOT-2026-0116,128,8,120,50,EA,8.4,0.85,2026-01-13,2026-01-15,2026-01-14,128,B,Medium,30,180,50,425.00,Active
